Date,Adj Close
2022-01-03,154.391357421875
2022-01-04,160.24429321289062
2022-01-05,157.31468200683594
2022-01-06,158.98602294921875
2022-01-07,160.56129455566406
2022-01-10,160.7149658203125
2022-01-11,160.8782501220703
2022-01-12,161.79074096679688
2022-01-13,161.5890350341797
2022-01-14,151.65719604492188
2022-01-18,145.29855346679688
2022-01-19,143.0509033203125
2022-01-20,141.83103942871094
2022-01-21,139.35287475585938
2022-01-24,139.22802734375
2022-01-25,140.74563598632812
2022-01-26,142.08078002929688
2022-01-27,139.5738067626953
2022-01-28,140.82247924804688
2022-01-31,142.73394775390625
2022-02-01,145.18325805664062
2022-02-02,144.0210418701172
2022-02-03,142.82997131347656
2022-02-04,146.53759765625
2022-02-07,147.0274658203125
2022-02-08,149.79379272460938
2022-02-09,150.41815185546875
2022-02-10,149.79379272460938
2022-02-11,147.84393310546875
2022-02-14,146.4703826904297
2022-02-15,148.6123504638672
2022-02-16,148.8813018798828
2022-02-17,145.4522247314453
2022-02-18,146.1342010498047
2022-02-22,145.87484741210938
2022-02-23,142.8203887939453
2022-02-24,138.8438262939453
2022-02-25,142.12881469726562
2022-02-28,136.20237731933594
2022-03-01,131.0635528564453
2022-03-02,133.78184509277344
2022-03-03,132.83091735839844
2022-03-04,129.09446716308594
2022-03-07,124.10938262939453
2022-03-08,123.23529052734375
2022-03-09,128.17237854003906
2022-03-10,126.6547622680664
2022-03-11,123.802001953125
2022-03-14,125.03146362304688
2022-03-15,127.25028228759766
2022-03-16,132.93658447265625
2022-03-17,134.61749267578125
2022-03-18,134.56948852539062
2022-03-21,134.13723754882812
2022-03-22,136.989990234375
2022-03-23,134.26211547851562
2022-03-24,135.13619995117188
2022-03-25,136.317626953125
2022-03-28,135.30909729003906
2022-03-29,135.6068115234375
2022-03-30,134.99209594726562
2022-03-31,130.93869018554688
2022-04-01,129.9685516357422
2022-04-04,130.54489135742188
2022-04-05,129.0256805419922
2022-04-06,127.23554992675781
2022-04-07,126.84846496582031
2022-04-08,129.17083740234375
2022-04-11,128.69668579101562
2022-04-12,127.28392028808594
2022-04-13,123.18111419677734
2022-04-14,122.03929138183594
2022-04-18,124.30358123779297
2022-04-19,126.87750244140625
2022-04-20,127.3226318359375
2022-04-21,126.33563995361328
2022-04-22,122.70696258544922
2022-04-25,122.66825866699219
2022-04-26,119.03958892822266
2022-04-27,117.49136352539062
2022-04-28,119.34923553466797
2022-04-29,115.4980239868164
2022-05-02,116.55274963378906
2022-05-03,119.04927062988281
2022-05-04,122.98757934570312
2022-05-05,119.91046905517578
2022-05-06,119.7169418334961
2022-05-09,117.91712188720703
2022-05-10,115.04322814941406
2022-05-11,114.31748962402344
2022-05-12,114.2207260131836
2022-05-13,115.23675537109375
2022-05-16,114.43360900878906
2022-05-17,118.22677612304688
2022-05-18,116.20439910888672
2022-05-19,114.48197937011719
2022-05-20,113.54337310791016
2022-05-23,120.56846618652344
2022-05-24,122.27152252197266
2022-05-25,123.123046875
2022-05-26,125.25187683105469
2022-05-27,127.02266693115234
2022-05-31,127.95159912109375
2022-06-01,125.7066650390625
2022-06-02,127.72904968261719
2022-06-03,125.94857788085938
2022-06-06,125.53247833251953
2022-06-07,125.86149597167969
2022-06-08,123.85845947265625
2022-06-09,121.2554931640625
2022-06-10,115.68186950683594
2022-06-13,112.23704528808594
2022-06-14,110.36949920654297
2022-06-15,111.67581939697266
2022-06-16,109.75989532470703
2022-06-17,109.3728256225586
2022-06-21,112.08223724365234
2022-06-22,111.45326232910156
2022-06-23,110.23402404785156
2022-06-24,113.5240249633789
2022-06-27,112.61443328857422
2022-06-28,112.07255554199219
2022-06-29,111.56937408447266
2022-06-30,108.96641540527344
2022-07-01,110.35982513427734
2022-07-05,109.94005584716797
2022-07-06,109.22743225097656
2022-07-07,111.99008178710938
2022-07-08,111.63865661621094
2022-07-11,110.17434692382812
